   1      8   moveoutbox    2   channel     1   process 2    boxwidth 2    channelwidth 2   |   -   | 10   0| 16   1| 12   2| 12   2|  7   2|  7   2|  2   2|
1047   2648   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  4   4|  4   4| 17   2| 18   3| 19   4|
1064   2648   moveoutbox    5   channel    11   process 3    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |  2   2|  0   0|  7   2|  7   2|  2   2|
1036   2656   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel49         |   -   |  9   4|  4   4|  4   4|  4   4|  4   4| 17   2| 18   3|
1048   2656   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |   -   |  4   4|  4   4|  4   4|  9   4|  0   0|
1037   2664   getbox   18   shiftbox    18    channelwidth 5    putbox18  channel49         |   -   | 18   3|  9   4|  4   4|  4   4|  4   4|  4   4| 17   2|
1049   2664   moveinbox    4   channel    49   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |   -   |  4   4|  4   4| 17   2| 18   3|  9   4|
1038   2672   getbox   17   shiftbox    17    channelwidth 5    putbox17  channel49         |   -   | 17   2| 18   3|  9   4|  4   4|  4   4|  4   4|  4   4|
1050   2672   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  4   4|  4   4| 17   2| 18   3| 19   4|
1039   2680   moveoutbox    4   channel    49   process 2    boxwidth 4    channelwidth 5   |   -   |   -   | 17   2| 18   3|  9   4|  4   4|  4   4|  4   4|
1051   2680   moveinbox    4   channel    28   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  0   0| 13   3| 19   4| 19   4| 14   4|
1040   2688   moveoutbox    4   channel    49   process 2    boxwidth 4    channelwidth 5   |   -   |   -   |   -   | 17   2| 18   3|  9   4|  4   4|  4   4|
1052   2688   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |  4   4|  4   4|  4   4|  4   4|  9   4|  0   0|
1041   2696   moveoutbox    4   channel    49   process 2    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   | 17   2| 18   3|  9   4|  4   4|
1053   2696   moveinbox    4   channel    49   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |  4   4|  4   4|  4   4| 17   2| 18   3|  9   4|
1042   2704   moveoutbox    4   channel    49   process 2    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |   -   | 17   2| 18   3|  9   4|
1054   2704   moveinbox    4   channel    88   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4| 14   4| 19   4| 19   4| 12   2|  9   4| 20   0|
1055   2712   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4|  4   4|  4   4| 17   2| 18   3| 19   4|
1072   2712   moveoutbox    8   channel    37   process 7    boxwidth 3    channelwidth 3   |   -   |   -   |  3   3| 15   0|  0   0| 17   2| 13   3|  8   3|
1073   2712   getbox    0   shiftbox     0    channelwidth 1    putbox 0  channel20         |   -   |   -   |   -   |   -   |  0   0| 11   1|  1   1| 10   0|
1077   2712   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel35         |   -   |  1   1| 15   0|  0   0| 11   1| 11   1|  6   1|  6   1|
1079   2712   moveoutbox    2   channel    76   process 1    boxwidth 2    channelwidth 2   |   -   |   -   | 20   0|  5   0| 16   1| 12   2|  7   2|  7   2|
1081   2712   moveoutbox    3   channel    92   process 2    boxwidth 3    channelwidth 3   |   -   |   -   |  3   3| 12   2| 12   2| 12   2| 16   1|  8   3|
1086   2712   moveoutbox    7   channel    71   process 6    boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 20   0|  5   0| 16   1| 12   2|  7   2|
1087   2712   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel15         |   -   |   -   |  1   1|  0   0| 15   0| 11   1|  5   0| 10   0|
1093   2712   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel33         |   -   |   -   |  0   0| 13   3| 19   4|  4   4| 14   4|  4   4|
1106   2712   moveoutbox    9   channel    74   process 8    boxwidth 4    channelwidth 5   |   -   | 19   4| 20   0|  5   0| 16   1| 18   3| 19   4| 14   4|
1056   2720   moveinbox    4   channel    28   process 1   boxwidth 4    channelwidth 4   |   -   |  4   4|  4   4|  0   0| 13   3| 19   4| 19   4| 14   4|
1074   2720   moveoutbox   10   channel    20   process 9    boxwidth 0    channelwidth 1   |   -   |   -   |   -   |   -   |   -   |  0   0| 11   1|  1   1|
1078   2720   moveoutbox    6   channel    35   process 5    boxwidth 1    channelwidth 1   |   -   |   -   |  1   1| 15   0|  0   0| 11   1| 11   1|  6   1|
1080   2720   moveoutbox    2   channel    46   process 1    boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2| 17   2| 12   2|  7   2|  7   2|
1082   2720   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel18         |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|  3   3|
1088   2720   getbox   10   shiftbox    10    channelwidth 1    putbox10  channel15         |   -   |   -   | 10   0|  1   1|  0   0| 15   0| 11   1|  5   0|
1094   2720   moveoutbox    4   channel    33   process 3    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  0   0| 13   3| 19   4|  4   4| 14   4|
1075   2728   getbox    0   shiftbox     0    channelwidth 3    putbox 0  channel17         |   -   |  0   0|  3   3|  3   3|  3   3| 13   3|  8   3| 10   0|
1083   2728   moveoutbox    3   channel    18   process 2    boxwidth 3    channelwidth 4   |   -   |   -   | 13   3| 14   4|  9   4|  4   4| 10   0|  0   0|
1089   2728   moveoutbox    5   channel    15   process 4    boxwidth 0    channelwidth 1   |   -   |   -   |   -   | 10   0|  1   1|  0   0| 15   0| 11   1|
1095   2728   getbox   14   shiftbox    14    channelwidth 4    putbox14  channel33         |   -   |   -   |   -   | 14   4|  0   0| 13   3| 19   4|  4   4|
1076   2736   moveoutbox   10   channel    17   process 9    boxwidth 0    channelwidth 3   |   -   |   -   |  0   0|  3   3|  3   3|  3   3| 13   3|  8   3|
1084   2736   getbox   13   shiftbox    13    channelwidth 4    putbox13  channel33         |   -   | 13   3| 19   4|  4   4| 14   4|  4   4|  0   0|  3   3|
1090   2736   getbox   12   shiftbox    12    channelwidth 2    putbox12  channel61         |   -   |   -   |   -   | 12   2|  2   2| 20   0|  5   0| 17   2|
1096   2736   moveoutbox    4   channel    33   process 3    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   | 14   4|  0   0| 13   3| 19   4|
1085   2744   moveoutbox    3   channel    33   process 2    boxwidth 3    channelwidth 4   |   -   |   -   | 13   3| 19   4|  4   4| 14   4|  4   4|  0   0|
1091   2744   getbox   17   shiftbox    17    channelwidth 2    putbox17  channel61         |   -   |   -   |   -   | 17   2| 12   2|  2   2| 20   0|  5   0|
1097   2744   getbox    0   shiftbox     0    channelwidth 5    putbox 0  channel99         |   -   |   -   |  0   0|  4   4|  4   4|  4   4|  4   4|  9   4|
1092   2752   moveoutbox    5   channel    61   process 4    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |   -   | 17   2| 12   2|  2   2| 20   0|
1098   2752   getbox    9   shiftbox     9    channelwidth 5    putbox 9  channel99         |   -   |   -   |  9   4|  0   0|  4   4|  4   4|  4   4|  4   4|
1099   2760   moveoutbox    4   channel    99   process 3    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |  9   4|  0   0|  4   4|  4   4|  4   4|
1100   2768   moveoutbox    4   channel    99   process 3    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |  9   4|  0   0|  4   4|  4   4|
1101   2776   moveoutbox    4   channel    99   process 3    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |   -   |  9   4|  0   0|  4   4|
1102   2784   moveoutbox    4   channel    99   process 3    boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |   -   |   -   |  9   4|  0   0|
1103   2792   getbox    0   shiftbox     0    channelwidth 4    putbox 0  channel18         |   -   |   -   |  0   0| 13   3| 14   4|  9   4|  4   4| 10   0|
1104   2800   getbox   10   shiftbox    10    channelwidth 4    putbox10  channel18         |   -   |   -   | 10   0|  0   0| 13   3| 14   4|  9   4|  4   4|
1105   2808   moveoutbox    4   channel    18   process 3    boxwidth 4    channelwidth 4   |   -   |   -   |   -   | 10   0|  0   0| 13   3| 14   4|  9   4|
1107   2816   moveoutbox   11   channel    15   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   | 10   0|  1   1|  0   0| 15   0|
1112   2816   moveoutbox   14   channel    73   process 4    boxwidth 4    channelwidth 4   |   -   |   -   | 19   4| 20   0|  5   0| 16   1| 18   3| 19   4|
1114   2816   moveoutbox   15   channel    51   process 5    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |   -   |   -   | 17   2|  7   2|  7   2|
1117   2816   moveoutbox   19   channel    19   process 9    boxwidth 4    channelwidth 5   |   -   |   -   | 19   4|  9   4| 14   4|  0   0| 15   0| 13   3|
1121   2816   moveoutbox   13   channel     8   process 3    boxwidth 3    channelwidth 4   |   -   |   -   |  4   4| 14   4|  3   3|  3   3| 10   0|  0   0|
1122   2816   moveoutbox   18   channel    44   process 8    boxwidth 3    channelwidth 5   |   -   |   -   |  4   4| 14   4| 11   1| 15   0|  0   0| 17   2|
1123   2816   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel66         |   -   |   -   |   -   |  7   2| 20   0|  5   0| 17   2| 12   2|
1136   2816   moveoutbox   17   channel    41   process 7    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2|  7   2| 15   0|  0   0|
1137   2816   moveoutbox   16   channel    97   process 6    boxwidth 1    channelwidth 3   |   -   |   -   |   -   |  3   3|  3   3|  3   3| 20   0| 10   0|
1108   2824   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel20         |   -   |   -   |   -   |   -   |   -   |  1   1|  0   0| 11   1|
1113   2824   moveoutbox   14   channel    28   process 4    boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  4   4|  0   0| 13   3| 19   4| 19   4|
1115   2824   moveoutbox   15   channel    56   process 5    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |   -   | 17   2|  7   2|  7   2|  2   2|
1118   2824   moveoutbox   19   channel    48   process 9    boxwidth 4    channelwidth 4   |   -   |   -   |  4   4|  4   4|  4   4|  4   4| 17   2| 18   3|
1124   2824   moveoutbox   12   channel    66   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2| 20   0|  5   0| 17   2|
1109   2832   moveoutbox   11   channel    20   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |   -   |   -   |  1   1|  0   0|
1116   2832   moveoutbox   15   channel    15   process 5    boxwidth 0    channelwidth 1   |   -   |   -   |   -   |   -   |   -   | 10   0|  1   1|  0   0|
1119   2832   moveoutbox   19   channel    33   process 9    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |   -   | 14   4|  0   0| 13   3|
1125   2832   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel71         |   -   |   -   |   -   |  7   2| 20   0|  5   0| 16   1| 12   2|
1110   2840   getbox    6   shiftbox     6    channelwidth 1    putbox 6  channel35         |   -   |   -   |  6   1|  1   1| 15   0|  0   0| 11   1| 11   1|
1120   2840   moveoutbox   19   channel    73   process 9    boxwidth 4    channelwidth 4   |   -   |   -   |   -   | 19   4| 20   0|  5   0| 16   1| 18   3|
1126   2840   moveoutbox   12   channel    71   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2| 20   0|  5   0| 16   1|
1111   2848   moveoutbox   11   channel    35   process 1    boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  1   1| 15   0|  0   0| 11   1|
1127   2848   getbox    2   shiftbox     2    channelwidth 2    putbox 2  channel 6         |   -   |   -   |  2   2| 12   2| 12   2| 12   2| 12   2|  7   2|
1128   2856   getbox    7   shiftbox     7    channelwidth 2    putbox 7  channel 6         |   -   |   -   |  7   2|  2   2| 12   2| 12   2| 12   2| 12   2|
1129   2864   moveoutbox   12   channel     6   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  7   2|  2   2| 12   2| 12   2| 12   2|
1130   2872   moveoutbox   12   channel     6   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  7   2|  2   2| 12   2| 12   2|
1131   2880   moveoutbox   12   channel     6   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2| 12   2|
1132   2888   moveoutbox   12   channel     6   process 2    boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |   -   |   -   |  7   2|  2   2|
1133   2896   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel22         |   -   |   -   |  8   3|  3   3|  3   3|  0   0| 12   2| 13   3|
1134   2904   getbox   13   shiftbox    13    channelwidth 3    putbox13  channel22         |   -   |   -   | 13   3|  8   3|  3   3|  3   3|  0   0| 12   2|
1135   2912   moveoutbox   12   channel    22   process 2    boxwidth 2    channelwidth 3   |   -   |   -   |   -   | 13   3|  8   3|  3   3|  3   3|  0   0|
1138   2920   getbox   18   shiftbox    18    channelwidth 4    putbox18  channel48         |   -   |   -   | 18   3|  4   4|  4   4|  4   4|  4   4| 17   2|
1153   2920   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |   -   |  4   4|  9   4|  0   0|
1167   2920   moveoutbox    2   channel    16   process 3    boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 12   2| 12   2|  7   2|  2   2|  0   0|
1169   2920   moveinbox    2   channel     6   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |   -   |  2   2|  7   2|  2   2|
1183   2920   getbox    1   shiftbox     1    channelwidth 1    putbox 1  channel40         |   -   |  1   1| 15   0|  0   0| 11   1| 11   1|  6   1|  6   1|
1185   2920   moveinbox    6   channel    90   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |   -   |  6   1| 10   0|  1   1|
1199   2920   getbox   17   shiftbox    17    channelwidth 2    putbox17  channel66         |   -   |   -   |   -   | 17   2|  2   2|  7   2| 20   0|  5   0|
1203   2920   moveinbox    5   channel    66   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |   -   |  5   0| 17   2|  2   2|  7   2| 20   0|
1217   2920   moveoutbox   20   channel    64   process 1    boxwidth 0    channelwidth 5   |   -   |   -   |  4   4| 17   2| 18   3| 19   4| 14   4|  9   4|
1218   2920   moveoutbox    8   channel    42   process 9    boxwidth 3    channelwidth 3   |   -   |   -   |  3   3| 15   0|  0   0| 17   2| 13   3|  8   3|
1219   2920   moveinbox    8   channel    57   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 15   0|  5   0| 17   2| 18   3|  8   3|  8   3|
1233   2920   moveoutbox    1   channel    65   process 2    boxwidth 1    channelwidth 1   |   -   | 20   0|  5   0| 11   1| 11   1|  6   1|  6   1|  1   1|
1234   2920   moveinbox    1   channel    16   process 1   boxwidth 1    channelwidth 2   |   -   |   -   |  1   1| 12   2| 12   2|  7   2|  2   2|  0   0|
1248   2920   moveoutbox    7   channel    76   process 8    boxwidth 2    channelwidth 2   |   -   |   -   |   -   | 20   0|  5   0| 16   1| 12   2|  7   2|
1249   2920   moveinbox    7   channel    76   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |  7   2| 20   0|  5   0| 16   1| 12   2|  7   2|
1263   2920   getbox    0   shiftbox     0    channelwidth 3    putbox 0  channel22         |   -   |   -   |  0   0|  5   0| 13   3|  8   3|  3   3|  3   3|
1139   2928   getbox   17   shiftbox    17    channelwidth 4    putbox17  channel48         |   -   |   -   | 17   2| 18   3|  4   4|  4   4|  4   4|  4   4|
1154   2928   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |   -   |  4   4| 17   2| 18   3|
1168   2928   moveoutbox    2   channel    98   process 3    boxwidth 2    channelwidth 4   |   -   |   -   | 14   4| 14   4| 12   2|  0   0| 10   0| 16   1|
1170   2928   moveinbox    2   channel    51   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  2   2| 17   2|  7   2|  7   2|
1184   2928   moveoutbox    6   channel    40   process 7    boxwidth 1    channelwidth 1   |   -   |   -   |  1   1| 15   0|  0   0| 11   1| 11   1|  6   1|
1186   2928   moveinbox    6   channel    20   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |   -   |  6   1|  1   1|  0   0|
1200   2928   moveoutbox    5   channel    66   process 6    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |   -   | 17   2|  2   2|  7   2| 20   0|
1204   2928   moveinbox    5   channel    71   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |   -   |  5   0| 16   1|  2   2|  7   2| 20   0|
1220   2928   moveinbox    8   channel    62   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 20   0|  5   0| 17   2| 18   3|  8   3|  8   3|
1235   2928   moveinbox    1   channel    66   process 1   boxwidth 1    channelwidth 2   |   -   |   -   |  1   1|  5   0| 17   2|  2   2|  7   2| 20   0|
1250   2928   moveinbox    7   channel    86   process 1   boxwidth 2    channelwidth 2   |   -   |  7   2| 15   0|  2   2| 16   1| 12   2|  7   2|  2   2|
1264   2928   moveoutbox    3   channel    22   process 4    boxwidth 3    channelwidth 3   |   -   |   -   |   -   |  0   0|  5   0| 13   3|  8   3|  3   3|
1140   2936   moveoutbox    4   channel    48   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |   -   | 17   2| 18   3|  4   4|  4   4|  4   4|
1155   2936   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |   -   |   -   |  4   4|  4   4|  9   4|  0   0|
1171   2936   moveinbox    2   channel     6   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |   -   |  2   2|  2   2|  7   2|  2   2|
1187   2936   moveinbox    6   channel    25   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1|  0   0|  6   1|  1   1|
1201   2936   getbox   16   shiftbox    16    channelwidth 2    putbox16  channel71         |   -   |   -   |   -   | 16   1|  2   2|  7   2| 20   0|  5   0|
1205   2936   moveinbox    5   channel    46   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |  5   0| 12   2| 17   2| 12   2|  7   2|  7   2|
1221   2936   moveinbox    8   channel     2   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3|  3   3|  3   3|  3   3| 10   0| 16   1| 18   3|
1236   2936   moveinbox    1   channel    71   process 1   boxwidth 1    channelwidth 2   |   -   |   -   |  1   1|  5   0| 16   1|  2   2|  7   2| 20   0|
1251   2936   moveinbox    7   channel    11   process 1   boxwidth 2    channelwidth 2   |   -   |  7   2|  2   2|  2   2|  0   0|  7   2|  7   2|  2   2|
1265   2936   moveoutbox    3   channel    22   process 4    boxwidth 3    channelwidth 3   |   -   |   -   |   -   |   -   |  0   0|  5   0| 13   3|  8   3|
1141   2944   moveoutbox    4   channel    48   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   | 17   2| 18   3|  4   4|  4   4|
1156   2944   moveinbox    4   channel    33   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |  4   4| 14   4|  0   0| 13   3|
1172   2944   moveinbox    2   channel    61   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2| 17   2| 12   2|  2   2| 20   0|
1188   2944   moveinbox    6   channel    90   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1|  6   1| 10   0|  1   1|
1202   2944   moveoutbox    5   channel    71   process 6    boxwidth 0    channelwidth 2   |   -   |   -   |   -   |   -   | 16   1|  2   2|  7   2| 20   0|
1206   2944   moveinbox    5   channel    61   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |  5   0|  2   2| 17   2| 12   2|  2   2| 20   0|
1222   2944   moveinbox    8   channel    12   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3|  3   3|  3   3|  3   3| 13   3|  8   3|  0   0|
1237   2944   moveinbox    1   channel    96   process 1   boxwidth 1    channelwidth 2   |   -   |  1   1|  2   2| 12   2| 12   2|  7   2|  7   2|  2   2|
1252   2944   moveinbox    7   channel    46   process 1   boxwidth 2    channelwidth 2   |   -   |  7   2|  5   0| 12   2| 17   2| 12   2|  7   2|  7   2|
1266   2944   getbox    8   shiftbox     8    channelwidth 3    putbox 8  channel17         |   -   |  8   3|  8   3|  0   0|  3   3|  3   3|  3   3| 13   3|
1142   2952   moveoutbox    4   channel    48   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |   -   | 17   2| 18   3|  4   4|
1157   2952   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |  4   4|  4   4| 17   2| 18   3|
1173   2952   moveinbox    2   channel    51   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2|  2   2| 17   2|  7   2|  7   2|
1189   2952   moveinbox    6   channel    20   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1|  6   1|  1   1|  0   0|
1207   2952   moveinbox    5   channel    20   process 1   boxwidth 0    channelwidth 1   |   -   |   -   |  5   0|  6   1|  6   1|  6   1|  1   1|  0   0|
1223   2952   moveinbox    8   channel    67   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 20   0|  5   0| 17   2| 18   3|  8   3|  8   3|
1238   2952   moveinbox    1   channel    81   process 1   boxwidth 1    channelwidth 2   |   -   |  1   1|  2   2| 12   2| 12   2| 16   1|  7   2|  2   2|
1253   2952   moveinbox    7   channel    92   process 1   boxwidth 2    channelwidth 3   |   -   |  7   2|  3   3| 12   2| 12   2| 12   2| 16   1|  8   3|
1267   2952   getbox   13   shiftbox    13    channelwidth 3    putbox13  channel17         |   -   | 13   3|  8   3|  8   3|  0   0|  3   3|  3   3|  3   3|
1143   2960   moveoutbox    4   channel    48   process 5    boxwidth 4    channelwidth 4   |   -   |   -   |   -   |   -   |   -   |   -   | 17   2| 18   3|
1158   2960   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |   -   |  4   4|  4   4|  4   4|  9   4|  0   0|
1174   2960   moveinbox    2   channel    56   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2| 17   2|  7   2|  7   2|  2   2|
1190   2960   moveinbox    6   channel    15   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |   -   |  6   1| 10   0|  1   1|  0   0|
1208   2960   moveinbox    5   channel    35   process 1   boxwidth 0    channelwidth 1   |   -   |   -   |  5   0|  6   1|  1   1| 15   0|  0   0| 11   1|
1224   2960   moveinbox    8   channel    72   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 20   0|  5   0| 16   1| 18   3|  8   3|  8   3|
1239   2960   moveinbox    1   channel    10   process 1   boxwidth 1    channelwidth 1   |   -   |  1   1|  0   0| 15   0|  5   0|  6   1|  6   1|  1   1|
1254   2960   moveinbox    7   channel    61   process 1   boxwidth 2    channelwidth 2   |   -   |  7   2|  5   0|  2   2| 17   2| 12   2|  2   2| 20   0|
1268   2960   moveoutbox    3   channel    17   process 4    boxwidth 3    channelwidth 3   |   -   |   -   | 13   3|  8   3|  8   3|  0   0|  3   3|  3   3|
1144   2968   getbox   16   shiftbox    16    channelwidth 5    putbox16  channel89         |   -   | 16   1| 19   4|  9   4|  4   4|  4   4| 20   0| 10   0|
1159   2968   moveinbox    4   channel    33   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  4   4|  4   4| 14   4|  0   0| 13   3|
1175   2968   moveinbox    2   channel    66   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2|  7   2| 20   0|  5   0| 17   2|
1191   2968   moveinbox    6   channel    25   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  6   1|  0   0|  6   1|  1   1|
1209   2968   moveinbox    5   channel    51   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |  5   0|  2   2|  2   2| 17   2|  7   2|  7   2|
1225   2968   moveinbox    8   channel    77   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 20   0|  5   0| 16   1| 18   3|  8   3|  8   3|
1240   2968   moveinbox    1   channel     1   process 1   boxwidth 1    channelwidth 2   |   -   |  1   1| 12   2| 12   2| 12   2|  7   2|  2   2|  2   2|
1255   2968   moveinbox    7   channel    99   process 1   boxwidth 2    channelwidth 5   |   -   |  7   2|  4   4|  4   4|  4   4|  4   4|  9   4|  0   0|
1145   2976   getbox   10   shiftbox    10    channelwidth 5    putbox10  channel89         |   -   | 10   0| 16   1| 19   4|  9   4|  4   4|  4   4| 20   0|
1160   2976   moveinbox    4   channel    48   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |   -   |  4   4|  4   4|  4   4| 17   2| 18   3|
1176   2976   moveinbox    2   channel    71   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2|  7   2| 20   0|  5   0| 16   1|
1192   2976   moveinbox    6   channel    90   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  6   1|  6   1| 10   0|  1   1|
1210   2976   moveinbox    5   channel    56   process 1   boxwidth 0    channelwidth 2   |   -   |   -   |  5   0|  2   2| 17   2|  7   2|  7   2|  2   2|
1226   2976   moveinbox    8   channel    27   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3|  3   3|  3   3|  0   0| 17   2| 13   3|  8   3|
1241   2976   moveinbox    1   channel    26   process 1   boxwidth 1    channelwidth 2   |   -   |  1   1| 12   2| 12   2| 12   2|  0   0|  2   2|  2   2|
1256   2976   moveinbox    7   channel    18   process 1   boxwidth 2    channelwidth 4   |   -   |  7   2|  4   4| 10   0|  0   0| 13   3| 14   4|  9   4|
1146   2984   getbox   20   shiftbox    20    channelwidth 5    putbox20  channel89         |   -   | 20   0| 10   0| 16   1| 19   4|  9   4|  4   4|  4   4|
1161   2984   moveinbox    4   channel    99   process 1   boxwidth 4    channelwidth 5   |   -   |   -   |  4   4|  4   4|  4   4|  4   4|  9   4|  0   0|
1177   2984   moveinbox    2   channel     6   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2|  2   2|  2   2|  7   2|  2   2|
1193   2984   moveinbox    6   channel    20   process 1   boxwidth 1    channelwidth 1   |   -   |   -   |   -   |  6   1|  6   1|  6   1|  1   1|  0   0|
1211   2984   moveinbox    5   channel    15   process 1   boxwidth 0    channelwidth 1   |   -   |   -   |  5   0|  6   1|  6   1| 10   0|  1   1|  0   0|
1227   2984   moveinbox    8   channel    82   process 1   boxwidth 3    channelwidth 3   |   -   |  8   3| 20   0|  5   0| 16   1| 18   3| 13   3|  8   3|
1242   2984   moveinbox    1   channel    30   process 1   boxwidth 1    channelwidth 1   |   -   |  1   1|  6   1|  6   1|  6   1|  1   1| 15   0|  0   0|
1257   2984   moveinbox    7   channel    28   process 1   boxwidth 2    channelwidth 4   |   -   |  7   2|  4   4|  4   4|  0   0| 13   3| 19   4| 19   4|
1147   2992   moveoutbox    4   channel    89   process 5    boxwidth 4    channelwidth 5   |   -   |   -   | 20   0| 10   0| 16   1| 19   4|  9   4|  4   4|
1162   2992   moveinbox    4   channel    18   process 1   boxwidth 4    channelwidth 4   |   -   |   -   |  4   4| 10   0|  0   0| 13   3| 14   4|  9   4|
1178   2992   moveinbox    2   channel    41   process 1   boxwidth 2    channelwidth 2   |   -   |   -   |   -   |  2   2|  7   2|  7   2| 15   0|  0   0|
